Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt
2019-01-02,33066.64064516129,33066.64064516129,32353.274032258065,32521.125,7847664,0.0,0.0,삼성전자,005930.KS,-2.9677284284445826,32000.78671875,34520.6423828125,36923.8283203125,78.35535190410542,-0.03012656620198164,32521.125,32521.125,0.0,0.0,0.0,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,0.0,1.5,1.83,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-03,32143.464796999666,32353.278535883477,31430.098084794714,31555.986328125,12471493,0.0,0.0,삼성전자,005930.KS,-2.9677284284445826,32000.78671875,34520.6423828125,36923.8283203125,78.35535190410542,-0.03012656620198164,32372.642127403848,32449.633246527777,-76.99111912392982,-15.398223824785966,-61.592895299143855,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,-2.9677284284445826,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-04,31430.09375,31555.981975967956,30926.54084612817,31430.09375,14108958,0.0,0.0,삼성전자,005930.KS,-0.3989499070507385,32000.78671875,34520.6423828125,36923.8283203125,78.35535190410542,-0.003997478351216711,32227.634684726334,32374.111802340532,-146.4771176141985,-41.614002582668476,-104.86311503153003,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,-3.3548385856885354,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-07,31891.683870967743,32647.01322580645,31723.832903225808,32521.125,12748997,0.0,0.0,삼성전자,005930.KS,3.471294927333779,32000.78671875,34520.6423828125,36923.8283203125,78.35535190410542,0.034124044553198486,32272.78704092228,32385.001668833826,-112.21462791154408,-55.7341276484436,-56.48050026310049,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,0.0,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-08,31891.67804708005,32898.78366961942,31849.715312807577,31975.603515625,12756554,0.0,0.0,삼성전자,005930.KS,-1.6774373099792794,32000.78671875,34520.6423828125,36923.8283203125,78.35535190410542,-0.01691665628133605,32227.066498568853,32354.675879707247,-127.60938113839438,-70.10917834643375,-57.50020279196063,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,-1.6774373099792794,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-09,32437.188639322914,33234.48046875,32143.449544270832,33234.48046875,17452708,0.0,0.0,삼성전자,005930.KS,3.9369920023865745,32143.4578125,34520.6423828125,36923.8283203125,78.35535190410542,0.03861468342345693,32382.053263212107,32419.84659000671,-37.79332679460276,-63.646008036067556,25.852681241464794,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,2.1935141196683716,1.5,1.73,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-10,33570.1829459799,33696.071132027326,33234.4811165201,33402.33203125,14731699,0.0,0.0,삼성전자,005930.KS,0.5050524639848897,32512.726953125,34520.6423828125,36923.8283203125,78.35535190410542,0.005037813520861902,32539.019227525627,32492.623289358067,46.39593816755951,-41.63761879534214,88.03355696290166,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,2.7096449807624934,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-11,33863.924305555556,34031.77523148148,33528.222453703704,33989.8125,11661063,0.0,0.0,삼성전자,005930.KS,1.7588007573853703,33024.670703125,34520.6423828125,36923.8283203125,78.35535190410542,0.01743512852430606,32762.218192521686,32603.526193850063,158.69199867162388,-1.5716953019489388,160.26369397357283,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,4.516102994591975,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-14,33947.85029455368,34157.663955212236,33444.297508973155,33612.1484375,11984996,0.0,0.0,삼성전자,005930.KS,-1.1111095787892378,33242.875390625,34520.6423828125,36923.8283203125,78.35535190410542,-0.011173285102735618,32892.97669174912,32678.238952638945,214.73773911017634,41.69019158047612,173.0475475297002,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,3.3548145628418347,1.5,1.73,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-15,33612.15358405566,34493.37109375,33444.30262982816,34493.37109375,11492756,0.0,0.0,삼성전자,005930.KS,2.6217385594633713,33746.42890625,34520.6423828125,36923.8283203125,78.35535190410542,0.025879601103747665,33139.19121513388,32812.69318531384,326.49802982003894,98.6517592283887,227.84627059165024,34520.6423828125,38559.46927884121,30481.815486783784,23.399488637787375,38186.0859375,31430.09375,2265.97265625,6.06450758929773,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
